,disposition_CONFIRMED,disposition_CANDIDATE,disposition_FALSE POSITIVE,disposition_REFUTED,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,st_rad,st_raderr1,st_radlim,ra,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.5269024,0.67,0.045591400000000004,0.0,173.8276491,124.872,16.63,0.2,0.027,0.001057
140,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6340.0,0.88,0.09,0.0,179.1664861,2864.21,14.864,0.069,0.034,0.000304
141,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.321691,0.678,0.136,0.0,166.2565337,256.0394,20.5561,0.0545,0.0278,0.01423
142,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.662,0.483,0.094,0.0,168.9116543,242.573,16.153,1.133,0.036,0.000828
143,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.71578,0.667,0.026600000000000002,0.0,175.0972238,334.967,14.668,0.137,0.023,0.000359
144,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0478,0.655,0.041,0.0,173.9385102,166.891,14.974,0.137,0.026,0.0009174
145,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.718098952,1.266,0.202,0.0,168.0081427,302.743,11.85,0.03,0.021,0.000395
146,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.27048734,2.564,0.182111,0.0,168.5427766,499.583,11.505,0.017,0.021,0.001173
147,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.242808,2.54,0.12,0.0,168.5427766,499.583,11.505,0.017,0.021,0.001173
148,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.24273,0.92,0.2,0.0,168.5427766,499.583,11.505,0.017,0.021,0.001173
149,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.242912,0.9,0.1502222,0.0,168.5427766,499.583,11.505,0.017,0.021,0.001173
150,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.395336,0.28,0.053,0.0,170.6976906,87.9605,15.55,0.07,0.019,0.000516
151,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.39533316,0.424658,0.012668,0.0,170.6976906,87.9605,15.55,0.07,0.019,0.000516
152,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.3951513,0.32,0.039133600000000004,0.0,170.6976906,87.9605,15.55,0.07,0.019,0.000516
153,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.3791,0.336,0.077,0.0,174.031648,232.354,16.68,0.2,0.033,0.000877
154,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.5107,0.896,0.051,0.0,175.6541539,212.292,11.68,0.051,0.028,0.000506
155,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.51569,0.71,9.64,0.0,175.6541539,212.292,11.68,0.051,0.028,0.000506
156,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.5116,0.875,0.083,0.0,175.6541539,212.292,11.68,0.051,0.028,0.000506
157,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.513607,0.857642,0.045198,0.0,175.6541539,212.292,11.68,0.051,0.028,0.000506
158,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.515399,0.65,1.9664396,0.0,175.6541539,212.292,11.68,0.051,0.028,0.000506
159,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.96151,0.6237999999999999,0.042,0.0,169.483654,257.443,14.705,0.16,0.023,0.000513
160,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.96165,0.634,0.039,0.0,169.483654,257.443,14.705,0.16,0.023,0.000513
161,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.97251,0.6252,0.0061,0.0,168.5709572,239.506,14.331,0.149,0.029,0.000708
