,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbperlim,ttv_flag,st_rad,st_radlim,rastr,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
1033,1,0,0,1.744546,0.0,0,2.316,0.0,0 days 09:07:36.600000,1006.1,13.227,0.103,0.024,0.000793
1034,1,0,0,11.6158,0.0,0,0.339085,0.0,0 days 08:39:41.990000,188.025,19.15,0.2,0.035,0.002168
1035,1,1,0,74.8,-1.0,0,0.7,0.0,0 days 08:37:07.770000,228.327,13.181,0.114,0.019,0.000295
1036,1,0,0,6.83292,0.0,0,0.18,0.0,0 days 08:27:20.610000,100.558,17.33,0.2,0.024,0.001066
1037,1,0,0,0.77845,0.0,0,0.779314,0.0,0 days 08:31:29.830000,183.229,14.734,0.16,0.02,0.0011
1038,1,0,0,0.778,0.0,0,0.779314,0.0,0 days 08:31:29.830000,183.229,14.734,0.16,0.02,0.0011
1039,1,0,0,0.923861,0.0,0,1.90631,0.0,0 days 09:04:52.710000,1072.93,13.503,0.103,0.019,0.00273
1040,1,0,0,2.851451,0.0,0,2.22321,0.0,0 days 09:02:20.460000,2882.33,14.51,0.118,0.032,0.010039
1041,1,0,0,3.244126,0.0,0,0.987047,0.0,0 days 08:53:06.950000,306.822,14.24,0.195,0.022,0.000389
1042,1,0,0,0.821436,0.0,0,1.5043,0.0,0 days 08:29:07.890000,655.284,12.845,0.08,0.021,0.001356
1043,1,0,0,3.888853,0.0,0,0.696024,0.0,0 days 09:10:02.970000,174.95,14.984,0.126,0.02,0.000659
1044,1,0,0,3.696871,0.0,0,1.47855,0.0,0 days 08:31:44.470000,218.506,10.236,0.007,0.019,0.000485
1045,1,0,0,3.697161,0.0,0,0.245,0.0,0 days 08:31:10.600000,474.3418,19.28,0.2,0.044,0.001949
1046,1,0,0,1.769505,0.0,0,1.16794,0.0,0 days 09:07:05.840000,2873.75,16.7332,0.0461,0.141,0.001093
1047,1,0,0,23.702342,0.0,0,1.869,0.0,0 days 09:07:13.070000,549.485,12.075,0.069,0.021,0.000272
1048,1,0,0,2.714743,0.0,0,0.415,0.0,0 days 08:32:32.400000,196.9,17.8046,0.0467,0.023,0.001023
1049,1,0,0,5.169887,0.0,0,1.45,0.0,0 days 08:58:45.670000,306.57,10.95,0.012,0.018,0.000891
1050,1,0,0,5.1699026,0.0,0,1.48,0.0,0 days 08:58:45.670000,306.57,10.95,0.012,0.018,0.000891
1051,1,0,0,3.40819,0.0,0,0.849526,0.0,0 days 08:32:42.850000,377.273,13.451,0.092,0.017,0.001457
1052,1,0,0,2.22982,0.0,0,2.26072,0.0,0 days 08:31:25.980000,847.096,11.533,0.018,0.019,0.001622
1053,1,0,0,4.4455436,0.0,0,2.11,0.0,0 days 09:04:40.780000,923.354,12.855,0.069,0.023,0.000218
1054,1,0,0,4.445559,0.0,0,2.237,0.0,0 days 09:04:40.780000,923.354,12.855,0.069,0.023,0.000218
1055,1,0,0,23.917716,0.0,0,0.828,0.0,0 days 08:34:52.790000,459.87,15.236,0.137,0.019,0.000333
1056,1,0,0,2.783705,0.0,0,0.939,0.0,0 days 08:58:31.900000,275.839,11.717,0.028,0.017,0.000285
1057,1,0,0,1.830767,0.0,0,0.98712,0.0,0 days 09:09:16.160000,453.469,12.974,0.069,0.022,0.000896
1058,1,0,0,9.375266,0.0,0,0.747,0.0,0 days 08:35:42.680000,529.649,15.348,0.149,0.03,0.000331
1059,1,0,0,0.617674,0.0,0,1.10095,0.0,0 days 09:09:56.480000,551.825,13.882,0.069,0.021,0.013581
1060,1,0,0,0.986765,0.0,0,1.4,0.0,0 days 08:33:07.870000,1209.91,14.915,0.16,0.033,0.001601
1061,1,0,0,0.579309,0.0,0,0.999114,0.0,0 days 08:59:33.470000,804.474,15.156,0.435,0.023,0.013724
1062,1,0,0,1.204338,0.0,0,0.907171,0.0,0 days 08:54:27.850000,712.719,14.629,0.137,0.021,0.00122
1063,1,0,0,0.604228,0.0,0,,,0 days 09:11:43.590000,,17.3582,0.0494,0.062,0.01414
1064,1,0,0,0.82182448,0.0,0,2.64987,0.0,0 days 08:39:21.250000,905.484,12.38,0.046,0.019,0.00016
1065,1,0,0,0.822,0.0,0,2.64987,0.0,0 days 08:39:21.250000,905.484,12.38,0.046,0.019,0.00016
1066,1,0,0,0.8218241,0.0,0,2.66,0.0,0 days 08:39:21.250000,905.484,12.38,0.046,0.019,0.00016
1067,1,0,0,0.816734,0.0,0,1.79519,0.0,0 days 08:31:06.510000,292.97,10.566,0.007,0.02,0.000306
1068,1,0,0,14.220246,0.0,0,1.461,0.0,0 days 09:05:01.050000,644.775,13.299,0.114,0.019,0.000706
1069,1,0,0,0.547674,0.0,0,0.786265,0.0,0 days 08:53:42.220000,478.589,14.864,0.16,0.023,0.000278
1070,1,0,0,1.743013,0.0,0,2.95299,0.0,0 days 08:53:48.930000,3310.66,13.921,0.16,0.042,0.002761
1071,1,0,0,0.55082,0.0,0,,,0 days 08:34:33.900000,,16.18,0.217,0.036,0.007547
1072,1,0,0,1.153456,0.0,0,2.96865,0.0,0 days 09:04:12.680000,2293.47,14.993,0.183,0.022,0.000532
1073,1,0,0,3.797473,0.0,0,0.785698,0.0,0 days 08:53:09.220000,573.461,14.994,0.183,0.023,0.001715
1074,1,0,0,0.518748,0.0,0,1.31192,0.0,0 days 08:51:04.760000,428.79,11.949,0.092,0.019,0.002436
1075,1,0,0,0.518754,0.0,0,0.878754,0.0,0 days 08:51:03.770000,204.192,12.155,0.04,0.02,0.000264
1076,1,0,0,0.98972,0.0,0,1.13922,0.0,0 days 09:03:51.490000,689.484,14.228,0.16,0.019,0.001298
1077,1,0,0,4.845561,0.0,0,1.15426,0.0,0 days 08:30:25.050000,692.795,13.981,0.126,0.022,0.000621
1078,1,0,0,0.643142,0.0,0,1.05452,0.0,0 days 09:08:45.090000,780.54,14.943,0.183,0.02,0.014502
1079,1,0,0,1.466473,0.0,0,0.981,0.0,0 days 08:27:00.920000,49.7797,10.89,0.03,0.021,0.000684
1080,1,0,0,7.112,0.0,0,0.909317,0.0,0 days 08:32:17.560000,123.647,10.794,0.009,0.023,0.000215
1081,1,0,0,7.1123703,0.0,0,0.91,0.0,0 days 08:32:17.560000,123.647,10.794,0.009,0.023,0.000215
1082,1,0,0,7.112134,0.0,0,1.042,0.0,0 days 08:32:17.560000,123.647,10.794,0.009,0.023,0.000215
1083,1,0,0,7.112273,0.0,0,0.96,0.0,0 days 08:32:17.560000,123.647,10.794,0.009,0.023,0.000215
1084,1,0,0,7.11047482,0.0,0,0.909317,0.0,0 days 08:32:17.560000,123.647,10.794,0.009,0.023,0.000215
1085,1,0,0,1.991357,0.0,0,1.26082,0.0,0 days 09:09:07.060000,521.625,12.777,0.16,0.021,0.000401
1086,1,0,0,16.7004351,0.0,0,1.09979,0.0,0 days 08:53:14.610000,619.729,14.574,0.092,0.022,0.000268
1087,1,0,0,16.709659,0.0,0,1.09979,0.0,0 days 08:53:14.610000,619.729,14.574,0.092,0.022,0.000268
1088,1,0,0,20.016917,0.0,0,0.97,0.0,0 days 09:02:55.680000,312.174,12.461,0.069,0.023,0.000665
1089,1,0,0,1.488249,0.0,0,0.982781,0.0,0 days 08:34:48.490000,372.01,14.982,0.114,0.019,0.002262
1090,1,0,0,0.610205,0.0,0,1.18417,0.0,0 days 08:53:41,206.923,12.342,0.057,0.023,0.00384
1091,1,0,0,1.07639,0.0,0,1.6002,0.0,0 days 08:33:07,587.214,12.249,0.046,0.018,0.000716
1092,1,0,0,5.17518,0.0,0,0.826,0.0,0 days 08:48:59.280000,312.43,13.411,0.114,0.019,0.000264
1093,1,0,0,9.73605539,0.0,0,0.946449,0.0,0 days 08:24:41.870000,465.051,13.628,0.057,0.021,0.000277
1094,1,0,0,2.22645,0.0,0,0.782,0.0,0 days 08:36:50.870000,569.614,15.072,0.08,0.026,0.000791
1095,1,0,0,2.226,0.0,0,0.778333,0.0,0 days 08:36:50.870000,569.614,15.072,0.08,0.026,0.000791
1096,1,0,0,3.209,0.0,0,0.910204,0.0,0 days 08:24:05.640000,238.775,13.142,0.046,0.019,0.000643
1097,1,0,0,3.209185,0.0,0,0.89,0.0,0 days 08:24:05.640000,238.775,13.142,0.046,0.019,0.000643
1098,1,0,0,3.209149,0.0,0,0.839324,0.0,0 days 08:24:05.640000,238.775,13.142,0.046,0.019,0.000643
1099,1,0,0,3.2092033,0.0,0,0.91,0.0,0 days 08:24:05.640000,238.775,13.142,0.046,0.019,0.000643
1100,1,0,0,2.91825,0.0,0,0.776,0.0,0 days 08:31:41.080000,274.014,13.525,0.092,0.017,0.00026
1101,1,0,0,2.918,0.0,0,0.763904,0.0,0 days 08:31:41.080000,274.014,13.525,0.092,0.017,0.00026
1102,1,0,0,0.898,0.0,0,,,0 days 08:32:40.690000,,14.858,0.092,0.031,0.001354
1103,1,0,0,0.898216,0.0,0,0.82,0.0,0 days 08:32:40.690000,,14.858,0.092,0.031,0.001354
1104,1,0,0,0.898344,0.0,0,0.9,0.0,0 days 08:32:40.690000,,14.858,0.092,0.031,0.001354
1105,1,0,0,0.898312,0.0,0,0.79,0.0,0 days 08:32:40.690000,,14.858,0.092,0.031,0.001354
1106,1,0,0,0.89803906,0.0,0,,,0 days 08:32:40.690000,,14.858,0.092,0.031,0.001354
1107,1,0,0,6.676,0.0,0,,,0 days 08:51:00.980000,769.424,19.6298,0.0538,,0.002445
1108,1,0,0,1.023613,0.0,0,2.97485,0.0,0 days 09:06:11.600000,1223.87,12.267,0.092,0.02,0.000636
1109,1,0,0,0.545702,0.0,0,4.752,0.0,0 days 08:52:54.500000,2031.74,14.055,0.114,0.018,0.000184
1110,1,0,0,4.70751,0.0,0,0.998,0.0,0 days 08:30:36.990000,329.537,12.497,0.069,0.021,0.000226
